classifier, best_representing_words_list, counter_vector, not_count, parts_of_speech, polarity_count, polarity_vocabulary, remove_stop_words, surrounding_words, text_to_vector_uni_vocabulary, tf_idf_vector, uni_gram, total_accuracy, 0_accuracy, 1_accuracy, 3_accuracy
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 89.013224822, 97.4025974026, 29.4117647059, 39.2156862745
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 16.2767039674, 14.9940968123, 17.6470588235, 26.4705882353
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 89.013224822, 97.4025974026, 29.4117647059, 39.2156862745
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 88.504577823, 97.0484061393, 26.4705882353, 38.2352941176
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 90.2339776195, 98.8193624557, 26.4705882353, 40.1960784314
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 89.013224822, 97.4025974026, 29.4117647059, 39.2156862745
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 88.8097660224, 97.8748524203, 26.4705882353, 34.3137254902
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 87.0803662258, 99.0554899646, 0.0, 16.6666666667
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 76.2970498474, 83.3530106257, 35.2941176471, 31.3725490196
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 
