classifier, best_representing_words_list, counter_vector, not_count, parts_of_speech, polarity_count, polarity_vocabulary, remove_stop_words, surrounding_words, text_to_vector_uni_vocabulary, tf_idf_vector, uni_gram, total_accuracy, 0_accuracy, 1_accuracy, 3_accuracy
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 69.6078431373, 85.2941176471, 70.5882352941, 52.9411764706
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 66.6666666667, 79.4117647059, 70.5882352941, 50.0
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 69.6078431373, 85.2941176471, 70.5882352941, 52.9411764706
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 58.8235294118, 79.4117647059, 55.8823529412, 41.1764705882
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 65.6862745098, 79.4117647059, 58.8235294118, 58.8235294118
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 69.6078431373, 85.2941176471, 70.5882352941, 52.9411764706
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, True, 58.8235294118, 79.4117647059, 58.8235294118, 38.2352941176
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 57.8431372549, 79.4117647059, 47.0588235294, 47.0588235294
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 53.9215686275, 88.2352941176, 35.2941176471, 38.2352941176
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 58.8235294118, 79.4117647059, 47.0588235294, 50.0
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 57.8431372549, 91.1764705882, 47.0588235294, 35.2941176471
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 60.7843137255, 79.4117647059, 44.1176470588, 58.8235294118
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 57.8431372549, 79.4117647059, 47.0588235294, 47.0588235294
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, True, False, 55.8823529412, 82.3529411765, 58.8235294118, 26.4705882353
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 69.6078431373, 85.2941176471, 70.5882352941, 52.9411764706
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 66.6666666667, 79.4117647059, 67.6470588235, 52.9411764706
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 69.6078431373, 85.2941176471, 70.5882352941, 52.9411764706
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 57.8431372549, 79.4117647059, 55.8823529412, 38.2352941176
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 65.6862745098, 79.4117647059, 58.8235294118, 58.8235294118
SVC_linear_C10_Gamma0,01,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 69.6078431373, 85.2941176471, 70.5882352941, 52.9411764706
Decision_tree_maxdepth6,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, True, 58.8235294118, 79.4117647059, 55.8823529412, 41.1764705882
SVC_linear_C10,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 57.8431372549, 79.4117647059, 47.0588235294, 47.0588235294
GaussianNB,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 53.9215686275, 88.2352941176, 35.2941176471, 38.2352941176
SVC_linear,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 58.8235294118, 79.4117647059, 47.0588235294, 50.0
Decision_tree,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 55.8823529412, 85.2941176471, 47.0588235294, 35.2941176471
SVC_linear_C0,1,vocabularies/dish_size_best_words_custom.txt, True, True, True, True, vocabularies/polarity_words.txt, True, True, vocabularies/text_to_vector_uni_vocabulary_10.txt, False, False, 60.7843137255, 79.4117647059, 44.1176470588, 58.8235294118
