true, predicted, text
0,1,Dashed in here to buy some soup for my very sore throat.  Decided upon the new spicy Thai chicken.  They now sell large as well.  As I am waking out the bottom falls out of the bag and the soup bun and utensils fall all over the floor.  No one working notices and so I pick up everything and put the soup and bag on the counter to show the staff that the bag broke.   I told them what happened and the staff member told me that she just washed the floor so the soup would be okay.  I told her no I want a fresh one.  While she is getting me a new order I explained to her that the bottom of the bag was wet which is why it broke.  As she hands me my new order the new bag bottom is wet as well.  I grabbed it from the bottom and told her that the bag was wet again and she should warn people.  She told me a few times.... It's just water.   She didn't or refused to understand that she kept making the bottom of the bags wet.  When I got home with my soup the butter was melted.
0,3,Very good sandwiches; I have tried the turkey on pretzel bread and the roast beef on cibatta.  Good location; easy to get to off of Park  Ave.  There is a free parking deck out back and metered parking on South Blvd.  Outdoor seating is in the shade and the place was very clean and friendly.  Free WiFi is always a plus. Only 4 stars because it is a little pricey; sandwiches are between $7 & $8 and come with either a drink OR chips (other sides available); so expect to pay $10.  Right now there are specials here on Yelp and also at Restaurant.com.  If I could have given 4 1/2 I would have. I would like to try breakfast but they don't open till 8am and i'm already at work.  Not many people in there when I went and I would like to see the place take off because I really liked it; the sandwiches are that good.
0,3,It's an Arby's like any other Arby's...    staff's always been friendly and food's always been a good value.       The facility seems clean;  even if the interior's a bit dated - I don't go to a quick serve restaurant to be wowed by the ambiance.  ------I'm giving them 4 stars because as Arby's go;  they're fine.
0,3,Food is always good and Mark; the general manager; and his crew are always attentive and courteous. They always have creative lunch specials and yummy homemade desserts too.
0,3,Food is alright but the worst part about this place is their meal hours. They are conveniently located in Atlantic Aviation (the General Aviation FBO) so patrons of the FBO just may be most of their business? Very often we (flight crews) leave there in the morning and want to take a sandwich with us for lunch. BUT; they won't sell you a sandwich before lunch.   It's not that they can't; they won't. Patrons are told "I can make it; but I'll get in trouble". The manager needs to wake up and realize who their customers are.
0,3,Slowest.......McDonald's........ever.  Do not; I repeat; DO NOT come here if you think you're going to just waltz through here on your way to work.  You'll be better off stopping at the farm to pick up your ham; eggs; and cheese to make your own McMuffin.  This is newly remodeled with two drive-thru lanes; which is hilarious considering they were ten times faster when they had just one.  I have been here on about four separate occasions that I can remember; three being drive-thru; and I have (not exaggerating in the least) waited 10-15 minutes every single time.  Of these four times not once did I go during a peak busy hour and sometimes I was the only one in line.  Not sure what they're doing in there but it definitely isn't fast...
0,3,As with so much of the food offerings from this area; what I encountered here today is a great concept; poorly executed. I like the market/restaurant/cafe combo; and was excited about visiting here; as it's quite close to home for me. And; while I enjoyed the market and the cafe; the restaurant fell short. It's a lovely enough space; with farm house style tables for communal dining and a wood fired oven. The menu is concise and easy to understand: pizza; sandwiches; salad and wood fired wings. I tried a salad with their house dressing and wood fired chicken; and a cup of their house soup; which is creamy tomato and roasted red pepper. I enjoyed the soup; but the salad was a disappointing mess. Their house dressing is a balsamic vinaigrette; which was not great tasting and had enough dried herbs in it that they resembled lawn cuttings. The roasted veggies were fine; but the chicken breast was so dry...well; the Sahara is a dewy oasis in comparison to this chicken breast. For the exective chef; if you're reading this...I would rather wait and have you fire up a fresh chicken breast than eat the one your staff cooked off this morning and then rewarmed in the oven. Chicken cooked this way will never; ever be moist and tasty. I know it saves you time and makes things move along more smoothly to do as much prep ahead of time as possible; but this is one area where you might want to not cut corners. I ended up sending my salad back and getting another that was equally dry. That was their opportunity to do it right; so they failed twice. I like the market and the cafe; but will be skipping lunch at this place in the future.
0,3,The market-restaurant-cafe combo is very nice. My wife makes the Italian seven-fishes dinner for Christmas eve and the anchovies we got from the market were the best. I've had the sandwiches a few times and they are very good. The hot peppers are nice if you like a good kick in the taste buds. The only drawback is the limited menu.
0,3,I was so excited to try the latest local restaurant.  I really need a go to place for lunch in a pinch and just have nothing to eat in the McMurray area at all.  I loved the concept.  The market; cafe and coffee shops all in a row.  It's really beautiful; I love the menu and the place was packed.  I was ready.  ------I ordered the 3 brothers sandwich.  Veggies in foccacia with a side salad basically.   They have pasta; pizzas; soups and salads as well as sandwiches baked in a brick oven.  The pizzas looked good but I wasn't really in the mood.  Besides; each one that came out got a ridiculous looking handful of parm or something to finish and made me cringe a little.  I would have to try one to see what they're all about.  ------My sandwich was a little salty.  The foccacia wasn't great and I really thought that instead of button mushrooms it should have had portabellas.  The side salad looked nice but I absolutely hated the balsamic dressing.  It was awful and they put it on absolutely everything.  I think it was the olive oil they use that I objected to.  It didn't go with the vinegar or something it just was all off somehow and I really didn't like it.  I also thought it wasn't a great value.  You don't get enough food for the money.------I tried my wife's salad with grilled chicken.  The chicken wasn't edible and she had the same dressing.  The Italian baguette they served with it was a little on the stale side and beside that I saw the lady who handled the money dishing them out on plates.  Don't touch the money and then touch my food please.  ------Go check out the nice little market and have a cup of coffee next door.  The market serves cold sandwiches and you probably can't go wrong there.  It's a nice concept.  Maybe they'll pull it together over time.  I am pulling for them.
0,3,Excellent addition to the South End neighborhood. This is a solid place for a dinner date or a cocktail. Very trendy; kind of urban chic atmosphere. The place was packed on Friday night.  ------The wine and food are fairly pricey; but good. Bottles of wine range from $45-$110 per bottle and sushi rolls range from $11-$25. ------I highly recommend the south end shrimp appetizer and the potato sushi roll. Both were fantastic. ------Though pricey; the food; atmosphere; and location are great. I'll be back; especially for half price sushi night on Mondays and Wednesdays.
