true, predicted, text
0,3,On our way to a stroll around Freedom Park| we realized that we were hungry for lunch.  Armed with a plethora of restaurant.com gift certificates| Quips was a convenient choice.------The first thing you notice is that the place is basically an upscale sandwich shop. (think Subway| Quizno's| et al).  The guy behind the counter was fabulous.  He told us about the menu| and we decided on the roast beef (#1 Clever) and turkey (#2 Witty).------Both were served on ciabatta bread| and both were pretty good.  I guess if I had an issue| it would be in the pricing.  In a world of $5 foot-longs| I'm just not sure if I liked the fare 50-60% more.
0,3,It was pretty much what I expected - high end ambiance to justify outrageous prices.  I knew this ahead of time so I waited until I had an opportunity to host a work dinner.  So this week I had a customer come to town and took him and my partner.  We went early (~5:30) because we were going to a hornets game afterwards.  I assumed I wouldn't need a reservation at that early hour but when we arrived the hostess said she could only seat us at the sushi bar.  I called her bluff and said we'd go somewhere else and the manager who happened to be standing next to her seated us at a table.  We ordered a some apps| which were good but teeny tiny| and the sushi was fine but I don't think I could take a pepsi challenge against any other sushi place in town if you took off the fancy presentation.  As expected with cocktails| sake| wine| and 3 hungry diners the bill was astronomical (and the rolls were half off!).  If you're looking to keep costs down stay away from the nigiri.  I'm not a sucker for high end experience and prefer a more casual environment.  Ru-san's is my favorite in Charlotte and I'd go there over this place any time.
0,3,If you're wondering why this place is packed on a Saturday night| it's not because the place is trendy| or that the staff is super friendly| or that it just opened. While all of this holds true| it's simply because the food is outstanding. This place is the definition of #WorthTheWait.------And is it really waiting if you're sipping on some drinks? Check in| give the hostess your name| and head over to their convenient bar with a staff that knows how to burn a drink. Relax| enjoy the ambiance| and let your cocktail ease that hangriness out of your system while you wait for your exceptional dinner.------We had the cracked shrimp appetizer which might of been my favorite appetizer I've ever had at an Asian restaurant. I don't even like sashimi but we tried it anyway| and guess what? It was delicious. Top it all of the sushi was prepared fresh and we finished every bite. If you're looking for some great Asian cuisine| look no further; O-Ku is your spot.
0,1,If I could eat at O-Ku for breakfast| lunch| and dinner I would be a very happy person. Oh. My. Goodness... best sushi I've had in Charlotte.------Ambiance and Atmosphere: Very trendy| a little dark| definitely a good date night or girls night out spot------Food: I ordered the spicy tuna crunch roll... delicious! The roll was pretty large and I would have been totally full if I had ordered 2 rolls. I also tried some of the mermaid roll (my friend ordered it) and another spicy tuna variation and both were delicious!------When to go: Mondays and Wednesday from 5:00-7:00pm (I think) are happy hour which includes half-price rolls. I recommend making a reservation if you want to avoid a wait during happy hour. ------Service: Zachary was our service and he was excellent the whole night. He was extremely friendly and checked in regularly to refill water and take more drink orders. ------Parking: They offer free valet parking| but I did not take advantage of this (I should have because the parking lot in Atherton where O-Ku is location does not have a lot of spots nearby). ------I will definitely be back!
0,1,Sweetie and I wanted to try something different for our anniversary and we like sushi| so why not go and see what all the fuss is about?------I made a reservation on OpenTable for a Friday night| 6:30 so I didn't have to wait in the line that was sure to be formed by then and off we go.  I got the obligatory reminder call on Friday afternoon by a pleasant lady which is always a nice touch.------We showed up and they had free valet parking which is a nice touch since nothing is worse than parking your own car and having to find a spot at a hot| new restaurant where everyone else is.  Walked in to a nicely decorated| well thought out space.  So dark I had to use my cell flashlight for the menu.  Nice music playing and servers were plentiful.  We got a nice hightop near the front door which was a nice table to start but as the restaurants filled up the overflow from the bar with people waiting for seats got a bit annoying as I really could care less about the guy this lady picked up on Tinder but was forced to listen to because she stood right near my table.------Our server was nice| attentive and was good at what he did.  I'm not a drinker so I usually order Iced Tea and come to find out they don't have Iced Tea on the menu.  WTF?  This is an outrage| all "sushi places" have Iced Tea.  Besides| this place originated in Charleston SC| the birthplace of Iced Tea and they're in the south for crying out loud.  This must change| now.  Anyway| I sipped on Charlotte's finest tap water instead.  ------Appetizer was the O-Ku Spring Roll which I highly recommend.  Nice selection of fish| some wonton crisps for added crunch and an outstanding sesame sauce for dipping.  Well done!  I grade a sushi place by the innovative specialty rolls and frankly O-Ku needs to beef it up| they only have about dozen on the menu and not too many standouts.  We had a Rainbow| Kiwi Kani| and Mermaid.  The Kiwi Kani fit the bill of innovative| and was delicious| the addition of the fresh kiwi made the roll and it was wonderful.  Dare I say one of the best rolls in the Queen City.  I noticed on the menu that they had fresh wasabi| not the green dyed horseradish that most have.  Come to find out they were out.  Here we go again| no Tea and no fresh wasabi?  Our Server suggested the pickled wasabi instead which was different and I must say| excellent.  Added a different dimension to the meal.  We finished with an almond cake or something and it was a nice cap to the meal.------I liked O-Ku.  They're still new but if you're looking for a new "See and be seen" place this is it.  Nicely done place with good food.
0,1,Great food. Excellent service. Sexy atmosphere. ------We went on a Monday night for a birthday dinner. When we walked in my initial thoughts were| this place is sexy AND it is WAY too loud in here to be half full. ------The hostess repeatedly asked us a ton of questions because she could barely hear us despite the fact that we were standing directly in front of her. They asked a TON of questions before seating us| including our phone number. Not sure why they needed all the info as we didn't have a reservation and didn't need to wait for a table. ------Our server was excellent. Her name is Linda. We found out at the end of the night that she was in training| but she did a great job. ------We had two sushi rolls: the mermaid roll and the kiwi-kani roll. The kiwi roll was fantastic. It was full of blue crab| tightly rolled| and had a sweet and salty balance I love. ------We also had the curry duck. We were expecting a Thai type of entree with a large amount of sauce. Instead| it was a sliced breast with a curry marinade and some awesome eggplant. Recommend. ------TL; DR: get the kiwi roll. Sit in Linda's section. Enjoy if you can hear your table mates.
0,3,Wow what a pleasant surprise. Just moved to Charlotte this afternoon and decided to walk outside and grab a quick dinner when we stumbled into the soft opening of O-Ku. The wine pairing was great and slightly unusual in that we had South African and Oregon wines that were crisp| different (from the usual standards)| and delicious. We split Spicy Edamame (yummy but not markedly unusual)| Ceviche Tacos ( nice presentation and very flavorful)| and Miso soup. For the main course we had the Mermaid Roll (fresh with a new twist)| Potato Roll (the winner of the evening!!)| and Curry Duck (large portion cooked perfectly with unusual type of eggplant). The service was excellent from the hostess| server Megan| and manager Justin. The ambiance was very nice in such an old eclectic building and the indirect lighting and lighting fixtures really set the tone for a cozy evening. They plan on having half price sushi happy hours Monday and Wednesday and we definitely plan on returning.  What a great evening. So happy to know that we can walk outside Ashton South End and enjoy such a nice (and healthy) evening. Thank you O-Ku!
0,3,I wish I could comment on the food but we could not make it past the pretentious staff! They lie about the wait times and give preferred service and entry to friends or better looking people. They were rude to my date and insulted her.  Thank you O-Ku Sushi for embarrassing me and ruining my night before it even got started unless you're a hipster douchebag good luck even getting seated we never did. i would not recommend this place to me enemies.
0,1,I just go here for the confident girls that were fake tans| big boobs and little shorts really really well. Its a chill joint. very noisy food is big and fattening beer is ice cold. if you want fun and easy go here. its a chill bar but the crowd here is business men on lunch and tourists so people are cleaned up a bit. not a roll out of bed joint------I always get great service| they care about your driving ability after a few dirty blonde's (house beer) ------First impression is great everyone must go at least one and attended on at least one major holiday!
0,3,Great lunch. Thanks Angie for your great service. Good food and tons of TV's to watch the game. Look forward to coming back again.
0,1,Not impressed.  I have been here twice.  The first time was just me and a girlfriend.  We were just grabbing a drink before going to a movie.  It had been open maybe a month by that time and it was pretty full.  Of course there were mostly male customers| which is to be expected.  I will admit that many of the servers are attractive.  However| I wonder if they have little experience serving or just don't like female customers.  I'm a server| so I don't feel bad criticizing.  You're supposed to get the customer to come back and you also want them to tell their friends.  My friend and I did not feel like a priority for the server| she did not spend much time talking with us at all.  For all she knew| we could have money to burn| but because of the service| she gets a crappy tip.------The second time I went| my girlfriend and I both brought our significant others.  There wasn't that much of a difference.  Once again| we were just grabbing drinks before a movie.  Maybe due to the fact that we weren't ordering food or staying longer| she didn't feel that she needed to put more effort into her service.  If you ask me| that's when I| as a server| spend more time making sure that the customer's visit is a positive one.------The server spoke very softly and didn't seem confident and lacked personality.  I wonder what qualifications these girls need to get hired....24" waist and at least a "C" cup??------At a nearby table| we saw a male customer massaging the shoulders of one of the servers| which we thought was highly inappropriate| but the server obviously didn't mind at all.------There are short video bios of each of the girls on several of their tv's.  It's pretty cheesy.------Oh yeah| they don't do frozen margaritas.  What the french toast.
0,3,Mess load of Nachos(carne asada) came jam packed with lots of toppings| meat| guacamole|cheese| beans and were a great deal for 7 bux. Carne Asada burrito for 5 bux was simple and tasty| not enormous| but def more than enough food. Don't expect a neat and clean restaraunt| as no one was cleanin tables| but hey its a taco joint so we weren't suprised.
0,3,Came on a Saturday for lunch.  It was a nicely designed restaurant with and open kitchen.  The bar is lower level in a solarium which is quite nice.  Restaurant was empty except for another family.  It was expected| it is after all a beautiful warm Saturday afternoon in August.  We chose to sit at the bar to watch the Blue Jay game which they gladly switched from the Roger's Cup.  The bar tender was friendly and talkative without being interruptive.------Drinks:  Mojito| which bartender raved to be the best in the west end.  Certainly high up there.  2 glasses of chianti and a prosecco for the end of meal.  Prices were reasonable and comparable.------Food: Pulpo| duck poutine|  braised short ribs| Wilcox burger and Churros for dessert.  Prices were appropriate for the quality of food you are getting.    ------We plan to visit next time in the evening to see how the restaurant is.  This place is a gem in Mississauga.  The food definitely is a reason to return.  I'd like to see how the atmosphere is at night.  The service was good  considering by the time we left about 20 people were there and she was the only server.  She was quick and efficient and attentive.  We need more of these quality gastropubs in Mississauga.
