true, predicted, text
0,3,Ice coffe machine always broken| huge lineups all the time| but the employees are always patient and polite| so it makes the overall experience better.
0,3,It's an Arby's like any other Arby's...    staff's always been friendly and food's always been a good value.       The facility seems clean|  even if the interior's a bit dated - I don't go to a quick serve restaurant to be wowed by the ambiance.  ------I'm giving them 4 stars because as Arby's go|  they're fine.
0,1,I just go here for the confident girls that were fake tans| big boobs and little shorts really really well. Its a chill joint. very noisy food is big and fattening beer is ice cold. if you want fun and easy go here. its a chill bar but the crowd here is business men on lunch and tourists so people are cleaned up a bit. not a roll out of bed joint------I always get great service| they care about your driving ability after a few dirty blonde's (house beer) ------First impression is great everyone must go at least one and attended on at least one major holiday!
0,3,Terrible experience.  Was seated promptly and we sat at our table for 45 minutes without a one server coming to our table to take an order or even ask is how we were doing.  Had to walk up to the bar to get a beer and the place was half empty.  Had two beers without seeing a waitress at our table one time.  Truly dismal.  This place seems far more impressed by the temperature of their beer than they are with customer service.  Avoid at all costs.
0,1,Not impressed.  I have been here twice.  The first time was just me and a girlfriend.  We were just grabbing a drink before going to a movie.  It had been open maybe a month by that time and it was pretty full.  Of course there were mostly male customers| which is to be expected.  I will admit that many of the servers are attractive.  However| I wonder if they have little experience serving or just don't like female customers.  I'm a server| so I don't feel bad criticizing.  You're supposed to get the customer to come back and you also want them to tell their friends.  My friend and I did not feel like a priority for the server| she did not spend much time talking with us at all.  For all she knew| we could have money to burn| but because of the service| she gets a crappy tip.------The second time I went| my girlfriend and I both brought our significant others.  There wasn't that much of a difference.  Once again| we were just grabbing drinks before a movie.  Maybe due to the fact that we weren't ordering food or staying longer| she didn't feel that she needed to put more effort into her service.  If you ask me| that's when I| as a server| spend more time making sure that the customer's visit is a positive one.------The server spoke very softly and didn't seem confident and lacked personality.  I wonder what qualifications these girls need to get hired....24" waist and at least a "C" cup??------At a nearby table| we saw a male customer massaging the shoulders of one of the servers| which we thought was highly inappropriate| but the server obviously didn't mind at all.------There are short video bios of each of the girls on several of their tv's.  It's pretty cheesy.------Oh yeah| they don't do frozen margaritas.  What the french toast.
0,3,I hated being there. I saw the owner/manager yelling at the young server girl unnecessarily  and hated the disrespect. The food we ate was okay| but it used to be better when the place had different owners. The place had a fun funky vibe and okay food but now that there is so much hostility| I will find another place to spend $20 on an entry next time I am in Toronto. Too bad| another favourite off my list. Toronto is changing now that charm is being replaced by greed.
0,3,Welcome to the one man show.. :) Want a cheap eat?? you've come to the right place. This little whole in the wall is a perfect place for a simple burger. You defiantly can not go wrong. And for the price so much better then a chain hamburger spot.. $5 burgers and $2 potatoes.. I'm sold.. Great lil spot.. ---Check it out.
0,1,if i could give zero stars| i would. i have never in my life had more terrible service than i had here tonight. our server was jessica. and she was THE. FREAKING. WORST. we will never be back here again. this is unbelievable. i have never written a review like this before and i hate to bash local places| but clearly this girl cared about regulars/friends more than anyone else in the bar. the table next to us had 12-14 bottles on their table and we waited a half hour for our check. and she screwed it up. TWICE. ridiculous. get your crap together.------*edited for yelp as i didn't want to get deleted for swearing. see their facebook for a raunchier version...
0,3,Lets clear some stuff first... I love McDonalds...lol Its cheap and fills the tummy :D------This location here us a busy hot spot. The service is fast and the server are not rude. The seating is pretty nice| and they have a fish tank in the middle of the restaurant.------There is parking on the location and they have free Wifi.
0,3,I like this place a lot but the waitress was having a bad hair day and totally spoiled the meal. So sadly i have marked it down from four stars to three.
