true, predicted, text
0,3,The service was great and the food was delicious. We got the dumpling dim sum| Kiwi Kani Roll| Potato Roll| Salmon and Lemon Roll| and mango/chocolate Mochi. All were incredibly delicious. Monday and Wednesday are half price on all sushi rolls which is an incredibly good deal. I will definitely be coming back!
0,3,I think my colleague said it best when he stated| "you come here for the peaks and not the food". They have a really cool system that almost freezes the beer and shows the temperature it is being poured at. The food here is nothing special. I recommend not getting to adventurous as your will probably be disappointed. I had the nachos and wings and they taste okay. I really only come to this place for one reason. The UFC!!! The atmosphere for the fights is unbelievable and the staff does a great job with the busyness. All in all a nice sports bar with a uniquely dressed staff that I am sure attracts some regulars
0,3,Excellent place to watch the game.  Servers abound wearing lumberjack tops and short shorts.------Miniscule bar menu for food.  The fish tacos were good.  Lots of drinking options.  ------Most of the tables are "tall" and there are a few booths.------Nice looking place inside.------Great place to go for a beer.
0,1,Ambiance is great! But it all goes down hill from there!------Went twice just to give them a second shot!------I had the Wilcox burger ' not much flavor and it was $17.00------Also ordered the southern fried chicken and it was not cooked. ---------Waitress told me it was their brining process!
0,1,When I got to the place i was given a table for 4 but i had 6 people with me and to order our food it took about 45 min to an hour---Ordering drinks was quiet fast but food service was extremely slow.---the menu looked amazing and i was excited to try the food especially the duck confi wings and sliders.---After waiting about 45 min to an hour we finally got our food and it was extremely under seasoned the food lacked taste| it was almost bland| hopefully they fix it because i was extremely disappointed paying 20 dollars for one meal and receiving something that tasted like cardboard.---I do not recommend this place.---over priced for low end food with fancy names
0,3,I have been eating at this restaurant for at least 25 years now.  I have always had consistently good| friendly service and fresh| well seasoned food.  ------Some note-ables:  Love the Tom Yum Goong soup| actually all of the soups are good.  They will make the sushi with brown rice when requested| which is always a good option.  The Young Chow fried rice is a favorite as is the Beef and Broccoli.  You also can't go wrong with the Pad Thai| Szechuan Chicken| Spicy Pork or Crunchy Beef.---The only recent complaint I had was with the Yuen Baos.  This was always my favorite place to get them.  They were large and filled with soft creamy cheese and plenty of crab flavor.  However| the last order seemed like a freeze and thaw version and were very small and dried out in the middle.  The server was apologetic and did remove them from our bill. --- ---The atmosphere is warm and welcoming and I highly recommend this restaurant.  ------Oh....I also wish they would bring back the "tasting dinners" they used to host 20-some years ago| which featured an array of offerings not on the regular menu and served family style at large round tables.  We always met nice people and shared great food at these events.
0,1,stay AWAY from this place| I overheard the owner of this place telling his employees to use up the rotten fruits and expired bubble tea powder first. Not to mention the owner| a short hong Kong man| was super rude to his employees. What's even more shocking was my friend said she saw employees trying to get rid a cockroach inside the kitchen while we were waiting for our drinks *vomits*. We through away the drinks as soon as we left the shop. Their drinks are especially good| so added with the gross experience| I'd rather take money elsewhere
0,3,From my Veggie Chronicles on Facebook. It's hard to evaluate LOVE! ------Nature Burger @ LICKS:----Fresh toppings: lettuce| onions| cucumbers| tomatoes| hot peppers| relish| olives| ketchup| bbq sauce and mustard----Patty: juicy| soft| tasty| thick----Price: ~$5 after taxes (just the burger)----Verdict: it was completely satisfying. Skip the cheese and mayo for a vegan option. Ask for a whole wheat bun for a healthier alternative (but I think they come standard). Licks' veggie burgers will never disappoint!------FYI| I'm not evaluating the restaurant| although I've never really cared about the service. C'mon| it's fast food people| what kind of service do you actually expect? You order the burger| name your toppings| they put the toppings on for you| you grab your burger and chow down. It's not like a 5-star restaurant where you can actually expect excellent service| it's part of the 5-star dining experience!
0,3,Ahh| Chick-fil-a!  Back when I lived in San Francisco| I could not believe they were so far away from the city.  Such elusive yet delectible fried chicken should not be kept far from the masses!---This chick-fil-a is in the mall| but still good.  Don't forget: this is Cleveland| so you pay less if you tell them the order is to go| rather than to eat in the mall.  I still don't understand that little piece of logic.---A full service Chick-fil-a with breakfast| although you cannot get it until 9am.
0,3,We live very close to the Harp and have always gone here with family to eat at dinner| the food is great.  A night they have live bands.  In the afternoon it's a great place to go after work or with your kids for a quiet family outing.  I don't recommend it for kids after dinner as it is a bar| but in the early afternoon we have always gone and the staff are great with to our kids and make them laugh all the time.
